,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
250,0.25,0.003293535837896309,0.06466135989618825,-0.0007194510343744539,-0.016753366823328807
251,0.251,0.0033586845268648103,0.06563324695576511,-0.0007363667533693695,-0.017076170202144414
252,0.252,0.003424811848569986,0.0666093055036134,-0.0007536106046847705,-0.017401964005339134
253,0.253,0.003491921316268034,0.06758947381690616,-0.0007711848762237742,-0.01773067794990634
254,0.254,0.003560016390349381,0.06857369088365833,-0.0007890919520199096,-0.01806223017106296
255,0.255,0.0036291005043308966,0.06956189616272071,-0.0008073341627616526,-0.01839653926706752
256,0.256,0.0036991770648558955,0.07055402958378003,-0.0008259137857924252,-0.018733524299220143
257,0.257,0.0037702494516941363,0.07155003154735892,-0.0008448330451105959,-0.019073104791862562
258,0.258,0.003842321017741821,0.07254984292481598,-0.0008640941113694798,-0.01941520073237811
259,0.259,0.003915395089021596,0.07355340505834568,-0.0008836991018773382,-0.019759732571191724
260,0.26,0.003989474964682551,0.07456065976097842,-0.0009036500805973792,-0.020106621221769934
261,0.261,0.004064563917000221,0.07557154931658051,-0.0009239490581477572,-0.020455788060620886
262,0.262,0.004140665191376584,0.07658601647985419,-0.0009445979918015729,-0.020807154927294316
263,0.263,0.004217782006340062,0.07760400447633764,-0.0009655987854868737,-0.021160644124381567
264,0.264,0.004295917553545522,0.07862545700240489,-0.0009869532897866533,-0.021516178417515585
265,0.265,0.0043750749977742726,0.07965031822526594,-0.001008663301938852,-0.02187368103537092
266,0.266,0.004455257476934069,0.08067853278296672,-0.0010307305658363566,-0.022233075669663715
267,0.267,0.00453646810205911,0.08171004578438902,-0.001053156772027,-0.02259428647515173
268,0.268,0.004618709957310037,0.08274480280925059,-0.0010759435577135617,-0.022957238069634303
269,0.269,0.004701986099973935,0.0837827499081051,-0.0010990925067537682,-0.023321855533952406
270,0.27,0.004786299560464337,0.0848238336023421,-0.0011226051496602918,-0.023688064411988584
271,0.271,0.004871653342321216,0.0858680008841871,-0.0011464829636007514,-0.024055790710667005
272,0.272,0.004958050422210988,0.08691519921670149,-0.0011707273723977124,-0.024424960899953423
273,0.273,0.005045493749926517,0.08796537653378263,-0.0011953397465286869,-0.024795501912855206
274,0.274,0.00513398624838711,0.08901848124016372,-0.001220321403126133,-0.025167341145421324
275,0.275,0.005223530813638514,0.09007446221141395,-0.0012456736059774558,-0.025540406456742333
276,0.276,0.005314130314852925,0.09113326879393839,-0.0012713975655250067,-0.025914626168950416
277,0.277,0.0054057875943289814,0.09219485080497802,-0.001297494438866083,-0.026289929067219338
278,0.278,0.005498505467491765,0.0932591585326098,-0.001323965329752929,-0.02666624439976447
279,0.279,0.005592286722892801,0.0943261427357465,-0.0013508112885927352,-0.02704350187784279
280,0.28,0.00568713412221006,0.09539575464413688,-0.0013780333124476392,-0.027421631675752883
281,0.281,0.005783050400247956,0.09646794595836564,-0.0014056323450347243,-0.027800564430834923
282,0.28200000000000003,0.005880038264937346,0.09754266884985334,-0.0014336092767260208,-0.028180231243470688
283,0.28300000000000003,0.0059781003973355335,0.09861987596085645,-0.0014619649445485046,-0.02856056367708357
284,0.28400000000000003,0.006077239451626264,0.09969952040446745,-0.0014907001321840991,-0.028941493758138558
